"lake","site","year","lc_category","catchment","area_ha","area_pct"
"Rotoehu","3",2005,"water","Lake Rotoehu",790.453722939158,17.3306742757161
"Rotoehu","3",2006,"water","Lake Rotoehu",790.453722939158,17.3306742757161
"Rotoehu","3",2007,"water","Lake Rotoehu",790.453722939158,17.3306742757161
"Rotoehu","3",2008,"water","Lake Rotoehu",790.453722939158,17.3306742757161
"Rotoehu","3",2009,"water","Lake Rotoehu",790.453722939158,17.3306742757161
"Rotoehu","3",2010,"water","Lake Rotoehu",790.453722939158,17.3306742757161
"Rotoehu","3",2011,"water","Lake Rotoehu",790.453722939158,17.3306742757161
"Rotoehu","3",2012,"water","Lake Rotoehu",790.453722939158,17.3306742757161
"Rotoehu","3",2013,"water","Lake Rotoehu",790.453722939158,17.3306742757161
"Rotoehu","3",2014,"water","Lake Rotoehu",790.453722939158,17.3306742757161
"Rotoehu","3",2015,"water","Lake Rotoehu",790.453722939158,17.3306742757161
"Rotoehu","3",2016,"water","Lake Rotoehu",790.453722939158,17.3306742757161
"Rotoehu","3",2017,"water","Lake Rotoehu",790.453722939158,17.3306742757161
"Rotoehu","3",2018,"water","Lake Rotoehu",790.453722939158,17.3306742757161
